ROI,X_position,Y_position,gene,gene_value,type,full_gene_name
D5761.(3).|.044.|.Full.ROI,6083,21055,Gng7,0.137072306161079,Cortical layer II/III,Gng7
D5761.(3).|.044.|.Full.ROI,6083,21055,Lrsam1,0.00958329454980315,Cortical layer II/III,Lrsam1
D5761.(3).|.044.|.Full.ROI,6083,21055,Etv1,-0.363994323753478,Cortical layer II/III,Etv1
D5761.(3).|.044.|.Full.ROI,6083,21055,Fezf2,-0.581110021100721,Cortical layer II/III,Fezf2
D5761.(3).|.054.|.Full.ROI,8968,22536,Cryab,-0.887981836280366,Cortical layer II/III,Cryab
D5761.(3).|.054.|.Full.ROI,8968,22536,Pde4a,-1.02738603191088,Cortical layer II/III,Pde4a
D5761.(3).|.054.|.Full.ROI,8968,22536,Cyb5a,-0.798396880303526,Cortical layer II/III,Cyb5a
D5761.(3).|.054.|.Full.ROI,8968,22536,Mllt11,-0.276680548496534,Cortical layer II/III,Mllt11
D5761.(3).|.054.|.Full.ROI,8968,22536,Dkk3,-0.707403433152139,Cortical layer II/III,Dkk3
D5761.(3).|.054.|.Full.ROI,8968,22536,Ighm,-0.633873598357241,Cortical layer II/III,Ighm
D5761.(3).|.054.|.Full.ROI,8968,22536,Dnajc16,0.177791642161834,Cortical layer II/III,Dnajc16
D5761.(3).|.054.|.Full.ROI,8968,22536,Tppp,0.127805426595806,Cortical layer II/III,Tppp
D5761.(3).|.054.|.Full.ROI,8968,22536,Gopc,0.148988733425451,Cortical layer II/III,Gopc
D5761.(3).|.054.|.Full.ROI,8968,22536,Cltc,-0.0553753246677465,Cortical layer II/III,Cltc
D5761.(3).|.054.|.Full.ROI,8968,22536,Pfn2,0.470299679063275,Cortical layer II/III,Pfn2
D5761.(3).|.054.|.Full.ROI,8968,22536,Ap3s1,0.402451225883696,Cortical layer II/III,Ap3s1
D5761.(3).|.054.|.Full.ROI,8968,22536,Pcmt1,0.82997075293626,Cortical layer II/III,Pcmt1
D5761.(3).|.054.|.Full.ROI,8968,22536,Rab12,0.914293179916367,Cortical layer II/III,Rab12
D5761.(3).|.054.|.Full.ROI,8968,22536,Gucy1b1,1.54713791602114,Cortical layer II/III,Gucy1b1
D5761.(3).|.054.|.Full.ROI,8968,22536,Exd2,1.14191639922437,Cortical layer II/III,Exd2
D5761.(3).|.054.|.Full.ROI,8968,22536,Slc12a5,1.35937638651823,Cortical layer II/III,Slc12a5
D5761.(3).|.054.|.Full.ROI,8968,22536,Calm1,1.40020911096845,Cortical layer II/III,Calm1
D5761.(3).|.054.|.Full.ROI,8968,22536,Gpr158,0.38151199931432,Cortical layer II/III,Gpr158
